raw,u_manual_mv,u_cali_mv,error_pct
0,0.0,0,
101,76.5,91,-15.98
185,140.0,166,-15.63
241,182.4,215,-15.14
300,227.1,267,-14.94
364,275.6,323,-14.69
429,324.8,378,-14.08
486,367.9,427,-13.84
539,408.0,472,-13.55
589,445.9,514,-13.25
639,483.7,555,-12.84
704,532.9,610,-12.63
766,579.9,663,-12.54
839,635.1,723,-12.15
890,673.7,766,-12.04
952,720.7,816,-11.68
1014,767.6,869,-11.67
1064,805.5,910,-11.49
1125,851.6,960,-11.29
1210,916.0,1031,-11.15
1289,975.8,1096,-10.97
1357,1027.3,1153,-10.90
1466,1109.8,1243,-10.72
1611,1219.6,1365,-10.65
1703,1289.2,1441,-10.53
1770,1339.9,1497,-10.49
1862,1409.6,1574,-10.45
1915,1449.7,1618,-10.40
1986,1503.4,1677,-10.35
2067,1564.8,1744,-10.28
2151,1628.4,1815,-10.28
2265,1714.7,1910,-10.23
2386,1806.3,2010,-10.14
2518,1906.2,2119,-10.04
2671,2022.0,2242,-9.81
2824,2137.8,2364,-9.57
2940,2225.6,2453,-9.27
3047,2306.6,2535,-9.01
3145,2380.8,2607,-8.68
3261,2468.6,2689,-8.19
3378,2557.2,2770,-7.68
3476,2631.4,2833,-7.12
3559,2694.2,2885,-6.61
3657,2768.4,2944,-5.96
3773,2856.2,3008,-5.05
3882,2938.8,3062,-4.02
3993,3022.8,3112,-2.87
4095,3100.0,3152,-1.65
4014,3038.7,3120,-2.61
3722,2817.6,2981,-5.48
3473,2629.1,2832,-7.16
3379,2558.0,2771,-7.69
3272,2477.0,2697,-8.16
3132,2371.0,2598,-8.74
3004,2274.1,2503,-9.15
2897,2193.1,2421,-9.41
2793,2114.4,2339,-9.60
2693,2038.7,2260,-9.79
2586,1957.7,2174,-9.95
2474,1872.9,2082,-10.04
2378,1800.2,2003,-10.13
2280,1726.0,1922,-10.20
2194,1660.9,1850,-10.22
2113,1599.6,1783,-10.29
2037,1542.1,1719,-10.29
1968,1489.8,1662,-10.36
1907,1443.6,1611,-10.39
1834,1388.4,1550,-10.43
1772,1341.4,1499,-10.51
1705,1290.7,1442,-10.49
1644,1244.5,1392,-10.59
1578,1194.6,1336,-10.59
1505,1139.3,1276,-10.71
1430,1082.5,1214,-10.83
1364,1032.6,1159,-10.91
1291,977.3,1098,-10.99
1211,916.8,1032,-11.17
1135,859.2,968,-11.24
1062,804.0,907,-11.36
993,751.7,852,-11.77
923,698.7,794,-12.00
850,643.5,733,-12.21
775,586.7,669,-12.30
688,520.8,597,-12.76
627,474.7,546,-13.07
570,431.5,498,-13.35
516,390.6,452,-13.58
447,338.4,393,-13.90
364,275.6,323,-14.69
274,207.4,243,-14.64
179,135.5,159,-14.78
79,59.8,71,-15.77
0,0.0,0,
